KOI Name,NExScI Disposition,Kepler Name,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count,Transit Number
K07041.01,CANDIDATE,,8.3613732,139.2515,2454972.251,0.067,3.6489999999999996,104.7,0.009000000000000001,1.48468,0.79,0.07200000000000001,89.78,793.0,93.31,17.64,0.39799999999999996,0.267,0.0,0.0,5470.0,4.5089999999999995,-0.58,0.777,0.71,2.9789999999999996,7.564,9.5,1,161
K01769.01,FALSE POSITIVE,,0.589049151,132.17927020000002,2454965.179,1.094,2.2539700000000003,61953.4,0.469,0.67757,39.51,0.012,61.81,1959.0,3495.15,2.316,0.39799999999999996,0.267,0.0,0.0,5592.0,4.51,-0.74,0.7709999999999999,0.703,426.095,8197.062,1227.6,1,2274
K07042.01,FALSE POSITIVE,,13.254134073,136.3679147,2454969.3680000002,1.051,4.3499099999999995,44979.8,0.373,0.9401,58.51,0.109,87.07,990.0,227.51,20.590999999999998,0.307,0.3,0.0,0.0,6175.0,4.111000000000001,-0.42,1.436,0.97,558.394,3634.86,2281.0,1,104
K07043.01,FALSE POSITIVE,,5.776764285,131.54216770000002,2454964.542,0.88,6.99715,153902.0,0.519,0.27897,117.51,0.067,83.6,1542.0,1336.82,7.895,0.31,0.304,0.0,0.0,6263.0,3.875,-0.34,2.072,1.173,1590.7920000000001,12056.819,3033.4,1,235
K00236.01,FALSE POSITIVE,,5.77675928,143.09616,2454976.096,1.272,6.789,3522.5,0.34299999999999997,0.01649,32.77,0.057999999999999996,65.56,954.0,195.79,3.08,0.39799999999999996,0.267,0.0,0.0,5544.0,4.435,-0.4,0.875,0.7609999999999999,123.6,376.301,141.4,1,235
K01776.01,FALSE POSITIVE,,5.77676732,131.5416,2454964.542,1.273,6.822,5794.8,0.37200000000000005,0.0256,26.2,0.054000000000000006,69.06,670.0,47.55,3.56,0.6659999999999999,0.077,0.0,0.0,4401.0,4.621,-0.18,0.645,0.634,85.38,226.24400000000003,74.1,1,201
K07044.01,FALSE POSITIVE,,1.26227317,132.0407385,2454965.0409999997,1.247,3.3014099999999997,7342.5,0.361,0.10249000000000001,369.2,0.031,52.57,3790.0,48665.04,2.051,0.564,0.165,0.0,0.0,4927.0,2.8819999999999997,0.21,9.356,2.434,52.133,895.158,1159.9,1,1060
K04565.01,FALSE POSITIVE,,2.78801663,132.5612,2454965.5609999998,0.7959999999999999,17.354,14.0,0.004,0.0037700000000000003,0.91,0.046,46.53,2287.0,6451.74,1.157,0.225,0.34,0.0,0.0,7523.0,3.986,-0.06,2.206,1.719,3.9,9.249,21.8,1,490
K01254.01,CANDIDATE,,5.082722475,137.26075,2454970.261,0.019,5.9139,1974.1,0.04,0.23596,4.4,0.057999999999999996,89.84,1059.0,296.94,6.856,0.40399999999999997,0.262,0.0,0.0,5780.0,4.438,0.0,1.0,1.0,8.657,61.00899999999999,95.5,1,261
K00102.01,CANDIDATE,,1.73513619,135.060047,2454968.06,0.045,2.2741,952.6,0.027999999999999997,1.36796,3.27,0.028999999999999998,89.57,1554.0,1372.87,6.016,0.419,0.256,0.0,0.0,5751.0,4.391,0.21,1.071,1.028,25.636,432.89099999999996,473.2,2,772
K00102.02,FALSE POSITIVE,,4.06844957,132.27614,2454965.276,0.55,2.8349,79.8,0.008,0.91819,0.98,0.05,86.61,1170.0,442.08,9.3,0.419,0.256,0.0,0.0,5751.0,4.391,0.21,1.071,1.028,4.064,22.479,29.3,2,292
K06057.01,FALSE POSITIVE,,3.530164642,134.77535,2454967.775,0.019,4.11466,69923.0,0.243,0.8307899999999999,35.71,0.047,89.86,1465.0,1086.97,8.18,0.32,0.305,0.0,0.0,6208.0,4.226,-0.04,1.344,1.107,518.999,5444.6990000000005,731.2,1,386
K03863.01,FALSE POSITIVE,,53.556625,184.4892,2455017.489,0.879,16.18,3963.0,0.067,0.02358,26.31,0.355,86.7,1076.0,317.03,15.29,0.289,0.295,0.0,0.0,7643.0,3.639,0.0,3.6180000000000003,2.082,11.539000000000001,43.357,22.1,1,24
K04356.01,CONFIRMED,Kepler-1593 b,174.510276,201.47056,2455034.471,0.024,6.689,1530.0,0.035,5.45009,1.74,0.484,89.99,186.0,0.28,206.3,0.221,0.402,0.0,0.0,4367.0,4.822,-1.46,0.452,0.496,5.359,10.975,14.8,1,7
K01730.01,FALSE POSITIVE,,6.3520908689999995,134.2069907,2454967.207,0.223,3.8877099999999998,75141.7,0.25,1.70137,18.9,0.059000000000000004,89.17,772.0,83.66,15.367,0.517,0.191,0.0,0.0,5089.0,4.58,-0.52,0.693,0.6659999999999999,370.60900000000004,3249.1440000000002,1343.2,1,212
K07887.01,FALSE POSITIVE,,6.35216475,134.1982,2454967.1980000003,0.196,3.2510000000000003,185.7,0.012,1.53049,18.1,0.085,89.24,2698.0,12523.45,14.83,0.594,0.139,0.0,0.0,4820.0,2.471,-0.24,13.654000000000002,2.009,4.993,10.044,10.9,1,212
K01253.01,FALSE POSITIVE,,3.611541977,357.25064,2455190.251,1.254,8.6068,2972.3,0.321,0.00904,28.07,0.042,47.04,1005.0,240.29,1.84,0.49,0.207,0.0,0.0,5203.0,4.504,-0.2,0.802,0.75,19.173,122.51700000000001,167.1,1,318
K02529.01,CONFIRMED,Kepler-436 c,16.79716262,134.0417,2454967.042,0.899,3.83,1023.8,0.036000000000000004,0.34564,2.75,0.11599999999999999,87.02,503.0,15.19,17.27,0.627,0.10800000000000001,0.0,0.0,4652.0,4.617,0.02,0.6970000000000001,0.7340000000000001,3.865,18.14,21.2,2,81
K02529.02,CONFIRMED,Kepler-436 b,64.0019669,132.61778999999999,2454965.6180000002,0.701,4.724,1112.5,0.033,2.22778,2.48,0.28300000000000003,89.49,322.0,2.55,78.4,0.627,0.10800000000000001,0.0,0.0,4652.0,4.617,0.02,0.6970000000000001,0.7340000000000001,4.404,12.024000000000001,14.2,2,22
K00576.01,FALSE POSITIVE,,199.443024,240.85147999999998,2455073.851,0.932,7.409,4036.0,0.07400000000000001,0.63048,9.3,0.65,89.51,332.0,2.86,109.85,0.40399999999999997,0.262,0.0,0.0,5646.0,4.2780000000000005,0.0,1.153,0.9179999999999999,73.638,118.90700000000001,55.1,1,7
K00245.01,CONFIRMED,Kepler-37 d,39.79220077,175.250558,2455008.251,0.019,4.466,610.4,0.022000000000000002,4.02378,1.9,0.214,89.98,458.0,10.38,69.57600000000001,0.434,0.243,0.0,0.0,5437.0,4.571000000000001,-0.24,0.7809999999999999,0.8290000000000001,45.317,175.615,179.5,4,35
K00245.02,CONFIRMED,Kepler-37 c,21.30181863,191.84136,2455024.841,0.086,3.8763,87.3,0.008,3.12966,0.72,0.141,89.88,564.0,23.89,42.18,0.434,0.243,0.0,0.0,5437.0,4.571000000000001,-0.24,0.7809999999999999,0.8290000000000001,7.641,29.898000000000003,32.4,4,62
K07045.01,CANDIDATE,,0.76757669,131.819082,2454964.819,0.821,2.04757,157612.0,0.5,1.7073599999999998,34.23,0.013999999999999999,77.39,1530.0,1294.42,3.76,0.389,0.27899999999999997,0.0,0.0,5182.0,4.635,-0.98,0.627,0.619,200.21,1527.7060000000001,431.3,1,1743
K07046.01,FALSE POSITIVE,,5.860377067000001,134.8440004,2454967.844,0.526,10.4634,361615.0,0.618,0.16029000000000002,78.14,0.062,85.44,1191.0,475.44,6.627000000000001,0.303,0.303,0.0,0.0,6267.0,4.284,-0.5,1.158,0.94,4099.616,37991.027,3044.1,1,0
K00691.01,CANDIDATE,,29.66631669,189.36948,2455022.369,0.019,8.412,668.0,0.024,0.45093999999999995,2.83,0.183,89.96,644.0,40.68,27.58,0.33399999999999996,0.29600000000000004,0.0,0.0,5956.0,4.322,-0.28,1.0979999999999999,0.922,14.407,76.07,95.3,2,46
