KOI Name,Minimum,Maximum,Mean,Std,IQR,Skew,Kurtosis,Q1,Q2,Slope,Amplitude,MAD,Residual Bright Faint Ratio,Median,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count
K00992.01,-0.9757099747657776,0.13800999522209167,-0.012518881820142273,0.0972072258591652,0.013989999424666166,-6.406975269317628,42.28314808034879,-0.009909999556839466,-0.0042799999937415106,5.894521397027829e-08,0.5568599700927734,0.0063100000843405715,97.19113046989551,-0.0042799999937415106,9.93146307,136.49128000000002,2454969.491,0.037000000000000005,5.678,398.6,0.018000000000000002,0.48317,2.41,0.091,89.84,931.0,177.83,13.607,0.419,0.256,0.0,0.0,5782.0,4.28,0.16,1.22,1.035,4.53,22.901,26.2,2.0
K00992.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K00982.01,-0.6659200191497803,0.15460999310016632,-0.017106950283050537,0.11612723767757414,0.03329999957350084,-2.8569977283477783,7.703530207950243,-0.0002699999895412475,0.01510000042617321,-3.0305333399917265e-08,0.4102649986743927,0.017110001295804974,34.86422462804924,0.01510000042617321,1.5926331809999998,133.9243804,2454966.924,0.003,5.5605,633.1,0.022,0.09265,1.56,0.023,89.93,1053.0,290.51,2.316,0.6659999999999999,0.077,0.0,0.0,4506.0,4.626,-0.2,0.6509999999999999,0.654,4.184,25.79300000000001,66.9,1.0
K03924.01,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,54.585000886463405,0.0,1.592634161,132.328769,2454965.329,0.877,8.9488,155156.0,0.519,0.06389,100.2,0.029,64.63,2255.0,6128.09,2.046,0.293,0.31,0.0,0.0,6574.0,4.061,-0.22,1.768,1.317,532.246,3630.369,1207.6,1.0
K07623.01,-0.6666200160980225,0.9572299718856812,-0.002174061490222812,0.057638444006443024,0.0,-0.2718190848827362,48.74339785673682,0.0,0.0,8.811624985847328e-08,0.8119249939918518,0.0,6.524479712958523,0.0,2.2227289,131.895,2454964.895,0.254,2.617,279.1,0.015,1.00737,34.14,0.051,87.73,4454.0,93172.12,6.41,0.547,0.17800000000000002,0.0,0.0,4996.0,2.354,0.07,20.848000000000006,3.584,4.73,13.497,10.5,1.0
K00362.01,-98.05048370361328,38.49034118652344,-0.6711331605911255,9.584089279174805,0.6031049871817231,-5.350996494293213,39.55248477377785,-0.573309987783432,-0.17539000511169436,7.861079481526673e-07,68.27041625976561,0.25863999128341675,16.458422159315948,-0.17539000511169436,14.022451457,177.5952096,2455010.595,0.189,8.08619,20082.9,0.13,0.31052,14.93,0.114,89.27,810.0,101.92,14.778,0.35100000000000003,0.289,0.0,0.0,6061.0,4.401,-0.14,1.05,1.012,344.358,2487.494,2707.7,1.0
K04924.01,-1.4023200273513794,0.2090300023555756,-0.002060869475826621,0.05178332328796387,0.0,-16.747699737548828,296.4375065486803,0.0,0.0,-1.2173894521358088e-07,0.8056750297546387,0.0,2168.5355954282177,0.0,3.0031801,132.1161,2454965.116,0.98,2.814,374.7,0.024,0.03844,4.7,0.045,68.19,1827.0,2630.88,2.64,0.293,0.31,0.0,0.0,6606.0,4.0710000000000015,-0.16,1.768,1.349,4.5360000000000005,12.362,13.9,1.0
K03658.01,-41.45378112792969,11.464670181274414,-0.350269615650177,4.318757057189941,0.561795006506145,-4.797663688659668,25.331647205044078,-0.02134499978274107,0.0925000011920929,-6.224032370591958e-06,26.45922470092773,0.2856599986553192,66.00700824002507,0.0925000011920929,2.252417903,132.436339,2454965.436,1.198,1.9767,32296.0,0.456,1.46,27.09,0.027000000000000003,80.57,782.0,88.43000000000002,7.32,0.424,0.289,0.0,0.0,3979.0,4.699,-0.26,0.544,0.539,68.88,898.2410000000001,129.5,1.0
K04359.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K03145.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K03145.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K00993.01,-1.7355799674987793,0.28560999035835266,-0.005148615688085556,0.08843359351158142,0.0032400000200141217,-12.997278213500975,177.18208291052525,-0.003090000012889505,-0.001449999981559813,1.9381683600626668e-08,1.0105949640274048,0.0016299999551847575,458.82911861054083,-0.001449999981559813,21.85362905,144.32031,2454977.32,0.6759999999999999,3.439,355.6,0.018000000000000002,2.00195,1.75,0.151,88.95,618.0,34.57,37.0,0.393,0.268,0.0,0.0,5830.0,4.54,-0.14,0.8759999999999999,0.97,4.464,19.609,23.0,3.0
K00993.02,-1.2472599744796753,0.18432000279426566,-0.005458358209580183,0.07552659511566162,0.005544999963603914,-10.72350788116455,122.73997176423636,-0.0032699999865144487,-0.0011399999493733044,2.3573152816831595e-08,0.7157899737358093,0.0024100001901388173,386.8705307767822,-0.0011399999493733044,13.0607936,137.63148,2454970.631,0.718,3.215,236.6,0.015,1.22851,1.45,0.107,88.16,734.0,68.66,22.29,0.393,0.268,0.0,0.0,5830.0,4.54,-0.14,0.8759999999999999,0.97,4.243,16.737000000000002,19.4,3.0
K00993.03,-1.038349986076355,0.13759000599384308,-0.001429945696145296,0.037893395870923996,0.00043000001460313797,-19.67034721374512,407.78454286710024,-0.0003000000142492353,-0.0,8.803691419814967e-10,0.5879700183868408,0.00018000000272877514,256.63947346929353,0.0,86.723653,195.3511,2455028.351,0.662,4.852,241.0,0.015,2.92038,1.43,0.38,89.64,391.0,5.5,105.1,0.393,0.268,0.0,0.0,5830.0,4.54,-0.14,0.8759999999999999,0.97,3.949,7.676,9.4,3.0
K04053.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K04644.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01008.01,-51.75534057617188,7.943809986114503,-0.0063794665038585645,0.6160841584205627,0.0,-64.24543762207031,4582.760234199803,0.0,0.0,5.283169378991961e-08,29.84957504272461,0.0,301.737050713666,0.0,569.934135,248.94045,2455081.94,0.919,4.1904,18904.0,0.174,25.41419,38.98,1.317,89.93,296.0,1.81,759.0,0.453,0.233,0.0,0.0,5367.0,3.783,-0.46,2.057,0.935,154.567,164.416,66.7,1.0
K07624.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K04224.01,-0.5034599900245667,0.13530999422073364,-0.00740332156419754,0.05098685622215271,0.0076299998909235,-5.413253307342528,30.139887005175662,-0.0032999999821186066,0.0003999999898951501,1.881933996940387e-08,0.3193849921226501,0.0038300000596791506,116.24871743256705,0.0003999999898951501,1.975208831,131.63127,2454964.631,0.5589999999999999,1.513,76.3,0.008,2.87132,1.59,0.033,86.18,2064.0,4299.89,8.4,0.293,0.31,0.0,0.0,6401.0,4.029,-0.2,1.744,1.185,3.07,13.105,15.1,1.0
K04212.01,-0.6340399980545044,0.19615000486373896,-0.00525691919028759,0.061142012476921075,0.005780000210506842,-5.7513628005981445,37.119864083986,-0.005350000225007534,-0.002510000020265579,6.346297891558387e-08,0.4150950014591217,0.0028800000436604023,23.326787580539087,-0.002510000020265579,5.79179934,133.35814,2454966.358,0.8959999999999999,3.474,118.5,0.012,0.12599000000000002,1.69,0.065,81.51,1222.0,528.14,6.07,0.32,0.305,0.0,0.0,6174.0,4.244,0.02,1.318,1.109,4.083,13.564,17.7,2.0
K04212.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01007.01,-1.084820032119751,0.16133999824523926,-0.008982926607131958,0.0871613472700119,0.009599999990314243,-7.842125415802003,64.40760892712561,-0.0062500000931322575,0.0,-8.04693508238528e-08,0.6230800151824951,0.005309999920427799,105.46731151485173,0.0,7.40742502,355.49652000000015,2455188.497,0.03,3.675,442.0,0.019,1.33381,2.01,0.07400000000000001,89.89,938.0,183.15,15.698,0.35100000000000003,0.289,0.0,0.0,5922.0,4.474,-0.08,0.961,1.002,3.987,19.42,23.1,1.0
K04925.01,-94.16983032226562,38.64953994750977,-0.19914019107818606,8.85898494720459,0.0732950009405613,-4.898564338684082,36.056919057213136,-0.0732950009405613,0.0,-1.2368794345609826e-06,66.40968322753906,0.01785000041127205,13.717829489509649,0.0,2.96384168,134.119473,2454967.119,1.0590000000000002,5.4768,35652.8,0.34600000000000003,0.10239,43.7,0.042,73.0,1406.0,925.63,3.62,0.366,0.284,0.0,0.0,6095.0,4.371,0.14,1.158,1.154,229.504,2278.632,607.5,1.0
K02538.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01002.01,-1.0513499975204468,0.2909199893474579,-0.008889601565897466,0.09276724606752396,0.01119999960064888,-6.890658378601074,49.17055757387378,-0.0029899999499320984,0.001509999972768128,6.889504868403004e-08,0.6711350083351135,0.0054800002835690975,237.4656070428157,0.001509999972768128,3.4815917,132.98828,2454965.988,0.076,1.8069,135.2,0.01,5.1037,1.17,0.043,89.71,1156.0,421.61,14.843,0.469,0.224,0.0,0.0,5405.0,4.374,0.21,1.022,0.902,3.261,19.788,23.4,1.0
K04926.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K07625.01,-0.4979999959468842,0.1574299931526184,-0.0017642665188759565,0.030612954869866368,0.0022800000151619315,-9.970147132873537,107.27588686184576,-0.0008900000248104334,-9.999999747378752e-06,-4.79073054715623e-09,0.3277149796485901,0.0010400000028312206,167.61189170245675,-9.999999747378752e-06,6.12601169,134.83637,2454967.836,0.422,1.733,40.2,0.006,7.57688,0.83,0.062,89.02,1141.0,400.49,24.7,0.3720000000000001,0.279,0.0,0.0,5679.0,4.146,-0.3,1.286,0.8440000000000001,3.522,7.285,7.0,1.0
K04927.01,-0.5402699708938599,0.15907999873161316,-0.017547452822327614,0.067893385887146,0.016610000719083473,-4.865762233734131,27.166178566164483,-0.01624000072479248,-0.0021299999207258224,6.231136772421742e-08,0.3496749997138977,0.0044200001284480095,27.3593211189166,-0.0021299999207258224,43.142257,132.3007,2454965.301,1.179,61.73,283.2,0.196,4e-05,37.88,0.265,41.66,706.0,58.68,1.579,0.324,0.305,0.0,0.0,6198.0,4.069,0.14,1.769,1.338,3.835,8.607999999999999,30.5,1.0
K01001.01,-1.5301200151443481,0.8555600047111511,-0.009909386746585369,0.13198898732662198,0.010089999996125698,-5.610238552093506,53.83532758047446,-0.010089999996125698,-0.002360000042244792,2.140948194491328e-08,1.1928399801254272,0.0032900001388043165,10.808997361123977,-0.002360000042244792,40.8065333,155.71586000000005,2454988.716,0.016,13.135,313.9,0.016,0.15947,3.71,0.264,89.96,772.0,83.75,24.123,0.328,0.306,0.0,0.0,6207.0,3.963,0.24,2.097,1.472,8.064,31.338,54.8,2.0
K01001.02,-1.1015499830245972,0.8438500165939331,-0.002552650636062026,0.07160448282957077,7.999999797903e-05,-8.46168041229248,152.00275756514466,-5.999999848427251e-05,0.0,4.10302610665694e-08,0.9726999998092652,2.9999999242136248e-05,26.91998417295515,0.0,140.10765,216.21749,2455049.217,0.019,18.503,266.8,0.015,0.19495,3.42,0.601,89.98,511.0,16.17,58.7,0.328,0.306,0.0,0.0,6207.0,3.963,0.24,2.097,1.472,6.421,14.671,29.0,2.0
K02351.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K04928.01,-28.04331970214844,5.082359790802002,-0.03636940941214562,0.9661633968353271,0.0,-16.286823272705078,292.41990497210617,0.0,0.0,-2.638571731344469e-06,16.56283950805664,0.0,502.0642166481037,0.0,3.290304098,131.90944,2454964.909,0.09,1.7215,13552.6,0.105,7.28769,4.91,0.033,89.68,540.0,20.06,16.097,0.456,0.282,0.0,0.0,3386.0,4.81,0.48,0.4270000000000001,0.43,40.06,234.088,220.5,1.0
K02634.01,-1.2309199571609497,0.1963600069284439,-0.0051767583936452866,0.06979136168956758,0.0038299999432638288,-11.526609420776367,139.35302510882045,-0.003169999923557043,-0.0013899999903514981,7.922255146399988e-09,0.7136399745941162,0.0019099999917671087,282.5560303361315,-0.0013899999903514981,19.9401211,142.34849,2454975.348,0.862,4.283,758.9,0.029,0.3806,2.42,0.136,87.53,588.0,28.29,20.0,0.398,0.267,0.0,0.0,5623.0,4.596,-0.4,0.763,0.853,4.217,15.501,18.0,1.0
K07626.01,-1.339210033416748,0.2261199951171875,-0.0008166151237674057,0.03033745102584362,0.0,-35.25185775756836,1364.5854256911634,0.0,0.0,1.1070484532371028e-08,0.7826650142669678,0.0,279.047265125026,0.0,462.12069,307.6255,2455140.626,0.002,10.42,633.7,0.023,3.69085,2.46,1.127,90.0,249.0,0.91,346.7,0.324,0.298,0.0,0.0,6079.0,4.4110000000000005,-0.5,0.974,0.892,5.9179999999999975,7.762,9.9,1.0
K03351.01,-134.3797607421875,28.19849967956543,-0.24551199376583105,5.63733434677124,0.11624000128358605,-15.634333610534668,279.1015040678226,-0.09588500112295152,0.0,6.232829715965079e-07,81.28913116455078,0.047970000654459014,63.392938505067825,0.0,77.36241475999998,139.095626,2454972.096,0.995,12.1317,96585.8,0.483,0.4868,41.66,0.336,88.94,362.0,4.08,53.602,0.4970000000000001,0.204,0.0,0.0,5359.0,4.57,-0.12,0.79,0.848,423.947,1495.851,1246.3,1.0
K02534.01,-0.6493600010871887,0.17315000295639038,-0.009239183738827705,0.085609070956707,0.022534999996423718,-4.561054706573486,21.531260210793942,-0.00817999988794327,-0.0017600000137463212,-1.3912010243874967e-08,0.4112550020217896,0.008339999243617058,35.39413085227546,-0.0017600000137463212,3.02558494,134.36744,2454967.367,0.8390000000000001,3.0008,128.3,0.012,0.18203,1.62,0.042,79.13,1484.0,1148.47,4.45,0.35100000000000003,0.289,0.0,0.0,6123.0,4.263,-0.06,1.263,1.0659999999999998,3.977,20.524,23.8,2.0
K02534.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K00147.01,-13.002440452575685,1.8067500591278083,-0.006618571002036333,0.29186293482780457,0.00028999999631196266,-32.67717742919922,1162.7005215826593,-0.00028999999631196266,0.0,3.234881943799048e-08,7.404595375061035,7.999999797903e-05,238.30824673072613,0.0,145.56249259999996,146.0588,2454979.059,1.274,5.4126,2931.6,0.336,0.49639,40.15,0.536,89.11,387.0,5.33,82.2,0.307,0.306,0.0,0.0,6148.0,4.346,-0.3,1.095,0.969,31.368,49.257,58.1,1.0
K08084.01,-0.7178300023078918,0.5820099711418152,-0.0008832004386931658,0.02788634225726128,0.0,-12.640689849853516,385.9854974998335,0.0,0.0,1.3527041478083894e-08,0.6499199867248535,0.0,34.933732671184416,0.0,317.74527,205.9582,2455038.958,0.787,17.54,206.6,0.014,0.13063,2.1,0.8390000000000001,89.49,336.0,3.03,88.7,0.308,0.3,0.0,0.0,6050.0,4.08,-0.94,1.3330000000000002,0.779,6.035,7.386,13.6,1.0
K03999.01,-0.4762400090694428,0.09679000079631804,-0.00545071717351675,0.04426262900233269,0.005720000015571714,-6.276504993438723,43.59557116186327,-0.0027000000700354576,-7.999999797903e-05,-3.9898739548975624e-08,0.2865149974822998,0.0027700001373887053,96.95048735092622,-7.999999797903e-05,3.43525124,132.6333,2454965.633,1.121,4.509,152.2,0.134,0.00541,25.43,0.047,41.65,1579.0,1468.73,1.5,0.405,0.264,0.0,0.0,5854.0,4.0139999999999985,0.12,1.742,1.143,4.552,10.048,6.3,1.0
K04929.01,-7.709969997406006,2.10017991065979,-0.09045855700969696,0.5830239057540894,0.08300499990582466,-3.32466721534729,18.22475741913196,-0.09628999978303908,-0.057240001857280724,2.3848032428217416e-07,4.905075073242188,0.04089999943971634,8.219929280702434,-0.057240001857280724,18.622214000000003,141.6268,2454974.627,0.792,4.42,5832.0,0.077,0.70849,20.83,0.154,88.07,1101.0,347.32,23.5,0.32,0.305,0.0,0.0,6235.0,3.801,0.02,2.471,1.4069999999999998,17.796,100.061,20.1,1.0
K06257.01,-0.22032000124454496,0.1377599984407425,-0.008023940958082676,0.03800955042243004,0.007680000097025186,-2.354446649551392,7.115813626289926,-0.006800000090152025,-0.002259999979287386,7.29620529831756e-08,0.17903999984264374,0.0037599999923259024,14.340142986410328,-0.002259999979287386,2.32539968,132.12985,2454965.13,1.004,16.791,288.1,0.033,0.00402,9.76,0.042,16.63,2501.0,9234.82,1.047,0.251,0.338,0.0,0.0,7046.0,3.831,0.1,2.724,1.834,4.337,9.873,79.9,1.0
K06258.01,-0.27237001061439514,0.1238500028848648,-0.004724276717752218,0.03841947764158249,0.00761000020429492,-3.4346528053283687,11.535551015480154,0.0,0.003500000108033419,7.576806801004798e-09,0.19811001420021052,0.003690000157803297,63.9762385805245,0.003500000108033419,0.7645977559999999,131.69552,2454964.696,0.345,1.119,16.6,0.004,3.95972,0.72,0.018000000000000002,86.02,2708.0,12721.72,4.965,0.324,0.305,0.0,0.0,6218.0,4.066,0.1,1.726,1.263,4.05,9.048,12.0,1.0
K02178.01,-1.2072700262069702,0.5036299824714661,-0.010508999228477478,0.09200793504714966,0.009160000452538952,-7.042270183563232,60.54567780677675,-0.009600000455975529,-0.005150000099092722,9.266247270026534e-08,0.8554500341415405,0.004600000102072954,25.863047746593644,-0.005150000099092722,6.49676881,132.17439,2454965.174,0.643,2.527,135.0,0.011,1.61822,3.74,0.079,87.6,1761.0,2273.36,15.34,0.29100000000000004,0.313,0.0,0.0,6418.0,3.658,-0.14,3.049,1.541,4.444,20.777,10.6,1.0
K03585.01,-156.69346618652344,32.53818893432617,-0.8976399302482605,12.119010925292967,2.4911350309848785,-6.09145975112915,42.01500835629293,-0.826850026845932,0.0,6.777824763757296e-06,94.61582946777344,1.0433199405670166,35.25434747217444,0.0,3.564614021,131.86235,2454964.862,0.989,3.44204,94342.0,0.472,0.98216,46.0,0.043,83.47,1187.0,470.37,8.705,0.324,0.298,0.0,0.0,5891.0,4.45,-0.56,0.892,0.818,295.886,2650.449,728.8,1.0
K06093.01,-0.4007799923419952,0.162990003824234,-0.005504815839231014,0.0391840934753418,0.005289999768137932,-6.253380298614503,46.04676237385092,-0.005289999768137932,-0.0018799999961629512,-2.6473649583374365e-08,0.2818849980831146,0.002600000239908695,28.634395525940285,-0.0018799999961629512,20.5736113,149.1939,2454982.194,0.032,11.222,76.0,0.008,0.1258,3.86,0.182,89.87,1197.0,484.82,14.12,0.464,0.233,0.0,0.0,5440.0,3.404,0.3,4.524,1.894,3.619,9.495,12.3,2.0
K06093.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01987.01,-1.7049000263214111,0.2570199966430664,-0.013478351756930351,0.13128358125686646,0.019949999637901783,-7.163299560546875,54.87276250254696,-0.00985000003129244,-0.00203000009059906,5.16745837864473e-08,0.9809600114822388,0.008950000628829002,100.06430665785015,-0.00203000009059906,7.81153999,136.33101000000002,2454969.331,1.271,5.984,912.8,0.304,0.0099,23.56,0.071,66.38,718.0,62.96,3.17,0.477,0.217,0.0,0.0,5150.0,4.628,-0.28,0.71,0.792,6.3279999999999985,30.701,41.3,1.0
K07627.01,-9.600959777832033,2.2973499298095703,-0.3934345543384552,1.382301688194275,0.4149800091981888,-3.22643780708313,10.882811217129023,-0.3301500082015991,0.0,-5.592747329824788e-06,5.949154853820801,0.2157399952411652,24.3202676334484,0.0,0.967427812,132.258305,2454965.258,1.248,5.8883,9127.8,0.375,0.06624,29.01,0.018000000000000002,32.82,1419.0,956.61,1.485,0.551,0.165,0.0,0.0,5066.0,4.625,-0.24,0.7090000000000001,0.784,32.455,375.778,323.4,1.0
K02201.01,-3.2868099212646484,0.7957299947738647,-0.0015919095603749154,0.08571470528841019,0.0004000000044470654,-25.380918502807607,784.1661937619687,-0.0003600000054575503,0.0,2.629323544534144e-09,2.0412700176239014,0.00015000000712461767,37.16020576854679,0.0,116.5214317,144.13378,2454977.134,1.26,5.577000000000001,771.5,0.28800000000000003,0.10988,44.41,0.482,88.32,457.0,10.33,42.9,0.353,0.29,0.0,0.0,6056.0,4.1789999999999985,0.0,1.411,1.096,6.876,19.213,25.0,1.0
K02403.01,-0.8509500026702881,0.3420099914073944,-0.0011815710458904505,0.06979915499687195,0.0015300000086426735,-7.039399147033691,66.85540804874492,-0.0015300000086426735,-0.000539999979082495,-5.251353481438431e-09,0.5964800119400024,0.0006699999794363978,11.399830908275352,-0.000539999979082495,13.32354078,134.03671,2454967.037,0.225,3.873,116.6,0.01,1.84695,1.32,0.117,89.5,872.0,136.61,25.88,0.373,0.28300000000000003,0.0,0.0,6113.0,4.341,0.22,1.218,1.194,4.498,15.665,16.3,1.0
K02130.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K06094.01,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,54.585000886463405,0.0,2.283466438,132.34883,2454965.349,0.457,7.7999,864260.0,1.166,0.43124,218.79,0.037000000000000005,84.66,2014.0,3883.24,4.917,0.273,0.318,0.0,0.0,6723.0,4.089,-0.24,1.719,1.327,1573.13,6511.655,1103.1,1.0
K06259.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K06259.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K06260.01,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,54.585000886463405,0.0,4.101595158,132.6324315,2454965.632,0.394,6.1036199999999985,366585.0,0.579,0.5561699999999999,51.08,0.047,87.14,1028.0,264.23,7.907999999999999,0.421,0.252,0.0,0.0,5610.0,4.533,-0.38,0.8079999999999999,0.813,1849.999,24137.738,3809.8,1.0
K01029.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K00999.01,-2.6033799648284908,0.5340700149536133,-0.00611777463927865,0.14123326539993286,0.005169999756617472,-9.79629898071289,109.82322884826648,-0.004739999771118164,-0.0015600000042468312,1.7606118640717582e-07,1.5687249898910522,0.002560000168159604,46.15182910868604,-0.0015600000042468312,16.56806842,146.15285,2454979.153,0.16399999999999998,4.2647,1331.4,0.033,1.90961,2.54,0.116,89.69,548.0,21.27,30.26,0.551,0.165,0.0,0.0,4987.0,4.602,-0.18,0.716,0.7490000000000001,6.665,31.121,41.9,2.0
K00999.02,-1.921090006828308,0.3288699984550476,-0.0011690726969391108,0.055860958993434906,0.0006700000303681009,-21.112150192260746,499.98834646208593,-0.0006000000284984707,-2.9999999242136248e-05,3.804229866773853e-08,1.1249799728393557,0.0002300000051036477,84.37900956084765,-2.9999999242136248e-05,47.3329299,151.41613999999996,2454984.416,0.43,2.708,931.5,0.028,16.34623,2.18,0.233,89.8,386.0,5.25,124.6,0.551,0.165,0.0,0.0,4987.0,4.602,-0.18,0.716,0.7490000000000001,4.8210000000000015,13.27,14.0,2.0
